property,latitude,longitude
Moustache Udaipur Luxuria,24.57799888,73.68263271
Moustache Udaipur,24.58145726,73.68223671
Moustache Udaipur Verandah,24.58350565,73.68120777
Moustache Jaipur,27.29124839,75.89630143
Moustache Jaisalmer,27.20578572,70.85906998
Moustache Jodhpur,26.30365556,73.03570908
Moustache Agra,27.26156953,78.07524716
Moustache Delhi,28.61257139,77.28423582
Moustache Rishikesh Luxuria,30.13769036,78.32465767
Moustache Rishikesh Riverside Resort,30.10216117,78.38458848
Moustache Hostel Varanasi,25.2992622,82.99691388
Moustache Goa Luxuria,15.6135195,73.75705228
Moustache Koksar Luxuria,32.4357785,77.18518717
Moustache Daman,20.41486263,72.83282455
Panarpani Retreat,22.52805539,78.43116291
Moustache Pushkar,26.48080513,74.5613783
Moustache Khajuraho,24.84602104,79.93139381
Moustache Manali,32.28818695,77.17702523
Moustache Bhimtal Luxuria,29.36552248,79.53481747
Moustache Srinagar,34.11547314,74.88701741
Moustache Ranthambore Luxuria,26.05471373,76.42953726
Moustache Coimbatore,11.02064612,76.96293531
Moustache Shoja,31.56341267,77.36733331
